;meta[language=it]
; id      |key(hex)|key(str)| text
2119990109|        |panel_Mods|Mods
2119990110|        |panel_BetterRumbleSupport|Better Rumble Support
2119990111|        |preset_Mods_BetterRumbleSupport|BRS Options
2119990114|        |option_BRS_IsEnabled|Enable BRS
2119990115|        |option_BRS_RumbleOnGeraltAttack|Rumble on Geralt attacks
2119990116|        |option_BRS_RumbleOnEnemyAttck|Rumble on Enemy attacks
2119990117|        |option_BRS_RumbleOnRunAction|Rumble run action
2119990118|        |option_BRS_RumbleOnFatique|Rumble on fatique
2119990119|        |preset_value_BRS_Disable|Disabled
2119990120|        |preset_value_BRS_Default|All Enabled (Default)
